DBN,School Name,Total Parent Response Rate,Total Student Response Rate,Total Teacher Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
20K201,J.H.S. 201 The Dyker Heights,0.76,0.962652929813265,0.96,N/A,N/A,N/A,N/A,N/A,N/A
20K220,J.H.S. 220 John J. Pershing,0.58,0.990243902439024,0.79,N/A,N/A,N/A,N/A,N/A,N/A
21K572,Leaders High School,0.22,0.707317073170732,1,N/A,N/A,N/A,N/A,N/A,N/A
22K207,P.S. 207 Elizabeth G. Leary,0.46,0.914893617021277,0.68,N/A,N/A,N/A,N/A,N/A,N/A
24Q061,I.S. 061 Leonardo Da Vinci,0.65,0.677372262773723,0.5,N/A,N/A,N/A,N/A,N/A,N/A
24Q077,Joseph F. Quinn Intermediate School 77,0.51,0.718528995756719,0.84,N/A,N/A,N/A,N/A,N/A,N/A
25Q263,Flushing International High School,0.71,0.840731070496084,0.81,N/A,N/A,N/A,N/A,N/A,N/A
25Q540,Queens Academy High School,0,0.152416356877323,0.33,N/A,N/A,N/A,N/A,N/A,N/A
25Q670,Robert F. Kennedy Community High School,0.22,0.85,0.87,N/A,N/A,N/A,N/A,N/A,N/A
25Q792,North Queens Community High School,0.03,0.237113402061856,1,N/A,N/A,N/A,N/A,N/A,N/A
26Q315,Business Technology Early College High School,0.16,0.709803921568627,0.85,N/A,N/A,N/A,N/A,N/A,N/A
26Q495,Bayside High School,0.31,0.835847701149425,0.89,N/A,N/A,N/A,N/A,N/A,N/A
27Q042,P.S./M.S 042 R. Vernam,0.39,0.810457516339869,0.92,N/A,N/A,N/A,N/A,N/A,N/A
27Q309,Academy of Medical Technology: A College Board School,0.09,0.598473282442748,1,N/A,N/A,N/A,N/A,N/A,N/A
28Q167,Metropolitan Expeditionary Learning School,0.22,0.664206642066421,0.5,N/A,N/A,N/A,N/A,N/A,N/A
28Q680,Queens Gateway to Health Sciences Secondary School,0.15,0.192700729927007,0.29,N/A,N/A,N/A,N/A,N/A,N/A
29Q192,I.S. 192 The Linden,0.22,0.976,0.66,N/A,N/A,N/A,N/A,N/A,N/A
30Q126,Albert Shanker School for Visual and Performing Arts,0.31,0.938730853391685,0.71,N/A,N/A,N/A,N/A,N/A,N/A
30Q300,The 30th Avenue School (G&T Citywide),0.66,0.934131736526946,0.65,N/A,N/A,N/A,N/A,N/A,N/A
31R047,CSI High School for International Studies,0.72,0.955339805825243,0.76,N/A,N/A,N/A,N/A,N/A,N/A
32K291,J.H.S. 291 Roland Hayes,0.19,0.032490974729242,0.65,N/A,N/A,N/A,N/A,N/A,N/A
32K349,"I.S. 349 Math, Science & Tech.",0.75,0.939024390243903,0.65,N/A,N/A,N/A,N/A,N/A,N/A
75K077,P.S. K077,0.32,0.94488188976378,0.55,N/A,N/A,N/A,N/A,N/A,N/A
75M079,P.S. M079 - Horan School,0.47,0.25,0.39,N/A,N/A,N/A,N/A,N/A,N/A
84K355,Williamsburg Collegiate Charter School,0.59,0.435,0.22,N/A,N/A,N/A,N/A,N/A,N/A
84K704,Explore Charter School,0.49,0.710526315789474,0.7,N/A,N/A,N/A,N/A,N/A,N/A
